year,title,abstract,full_text
1987,Bit-Serial Neural Networks,,573 BIT - SERIAL NEURAL  NETWORKS Alan F.  Murray
1987,Connectivity Versus Entropy,,1 CONNECTIVITY VERSUS ENTROPY Yaser  S.  Abu-Mostafa California  Institute  of Technology Pasadena
1987,The Hopfield Model with Multi-Level Neurons,,278 THE HOPFIELD MODEL WITH MUL TI-LEVEL NEURONS Michael Fleisher Department of Electrical Engineering Technion - Israel Institute of Technology Haifa 32000
1987,How Neural Nets Work,,442 Alan  Lapedes Robert  Farber Theoretical Division How  Neural  Nets  Work Los  Alamos  National Laboratory Los  Alamos
1987,Spatial Organization of Neural Networks: A Probabilistic Modeling Approach,,740 SPATIAL  ORGANIZATION  OF  NEURAL  NEn~ORKS: A PROBABILISTIC  MODELING  APPROACH A.  Stafylopatis M.  Dikaiakos D.  Kontoravdis National  Technical  University  of  Athens
1987,A Neural-Network Solution to the Concentrator Assignment Problem,,775 A  NEURAL-NETWORK  SOLUTION TO  THE  CONCENTRATOR ASSIGNNlENT  PROBLEM Gene  A.  Tagliarini Edward  W.  Page Department of Computer  Science
1987,LEARNING BY STATE RECURRENCE DETECTION,,642 LEARNING BY ST ATE RECURRENCE DETECfION Bruce E. Rosen
1987,Stability Results for Neural Networks,,554 STABILITY RESULTS  FOR NEURAL  NETWORKS A.  N.  Michell
1987,Introduction to a System for Implementing Neural Net Connections on SIMD Architectures,,804 INTRODUCTION TO A  SYSTEM FOR IMPLEMENTING NEURAL  NET CONNECTIONS ON SIMD  ARCHITECTURES Sherryl Tomboulian Institute for  Computer Applications  in Science and Engineering NASA  Langley Research Center
1987,Optimization with Artificial Neural Network Systems: A Mapping Principle and a Comparison to Gradient Based Methods,,474 OPTIMIZA nON WITH ARTIFICIAL NEURAL NETWORK SYSTEMS: A MAPPING  PRINCIPLE AND A COMPARISON TO GRADIENT BASED METHODS t Harrison MonFook Leong Research Institute  for Advanced Computer Science NASA Ames Research  Center 230-5 Moett  Field
1987,Optimal Neural Spike Classification,,95 OPTIMAL NEURAL SPIKE  CLASSIFICATION Amir  F.  Atiya(*)  and  James  M.  Bower(**) (*)  Dept.  of  Electrical Engineering (**)  Division  of  Biology California Institute of Technology Ca 91125 Abstract Being able  to record the electrical activities of a  number of neurons simultaneously is  likely to be important in  the study of the functional organization of networks of real neurons.  Using one  extracellular  microelectrode  to  record  from  several neurons  is  one  approach  to  studying the  response  properties  of sets  of  adjacent  and  therefore  likely  related  neurons.  However
1987,REFLEXIVE ASSOCIATIVE MEMORIES,,495 REFLEXIVE ASSOCIATIVE MEMORIES Laguna Research Laboratory
1987,The Performance of Convex Set Projection Based Neural Networks,,534 The  Performance  of  Convex  Set  projection  Based  Neural  Networks Robert  J.  Marks  II
1987,Speech Recognition Experiments with Perceptrons,,144 SPEECH RECOGNITION EXPERIMENTS WITH PERCEPTRONS D.  J. Burr Bell  Communications Research Morristown
1987,On Properties of Networks of Neuron-Like Elements,,41 ON  PROPERTIES OF NETWORKS OF  NEURON-LIKE ELEMENTS Pierre Baldi· and Santosh S.  Venkatesht 15  December 1987 Abstract The  complexity  and  computational  capacity  of multi-layered
1987,Ensemble' Boltzmann Units have Collective Computational Properties like those of Hopfield and Tank Neurons,,223 'Ensemble'  Boltzmann Units have  Collective Computational Properties like  those of Hopfield  and  Tank Neurons Mark Derthick and  Joe Tebelskis Department of Computer Science Carnegie-Mellon University 1  Introduction There  are  three  existing  connection::
1987,On Tropistic Processing and Its Applications,,262 ON  TROPISTIC  PROCESSING  AND  ITS  APPLICATIONS Manuel  F.  Fernandez General  Electric  Advanced  Technology  Laboratories Syracuse
1987,Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,,814 NEUROMORPHIC  NETWORKS  BASED ON  SPARSE  OPTICAL  ORTHOGONAL  CODES Mario P. Vecchi and Jawad A.  Salehi Bell Communications Research 435  South Street Morristown
1987,A 'Neural' Network that Learns to Play Backgammon,,794 A 'Neural' Network that Learns to Play Backgammon G. Tesauro Center for Complex Systems Research
1987,Learning Representations by Recirculation,,358 LEARNING REPRESENTATIONS BY RECIRCULATION Computer Science and Psychology Departments
